text,label,sentiment,source,model
The total value of the deliveries is some EUR65m .,1,neutral,original,—
"Company X announces a 15% decline in Q2 revenues, missing analyst expectations and sending shares down 8% in after-hours trading.",0,negative,synthetic,mistral:7b
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",1,neutral,original,—
"IBM issues a profit warning for Q3, citing lower-than-expected demand for its cloud services.",0,negative,synthetic,mistral:7b
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,1,neutral,original,—
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .,1,neutral,original,—
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,1,neutral,original,—
"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",2,positive,original,—
The new activity will incur an investment of about 5 MEUR .,1,neutral,original,—
Q3 earnings report reveals a 12% increase in profit for TechCo.,2,positive,synthetic,mistral:7b
Sales of security and system packaging increased slightly .,2,positive,original,—
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",1,neutral,original,—
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",2,positive,original,—
The report will be emailed within 2 business days of an order .,1,neutral,original,—
"Q3 profits for TechCorp miss expectations, causing a 10% drop in share price.",0,negative,synthetic,mistral:7b
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",0,negative,original,—
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, set to roll out in Q3 2023.",1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new quantum computing software platform, Qiskit Flex.",1,neutral,synthetic,mistral:7b
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,2,positive,original,—
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",1,neutral,original,—
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",2,positive,original,—
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",1,neutral,original,—
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,1,neutral,original,—
